analysis_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	analysis_type	reference_genome	pipeline_name	pipeline_version	cell_type	tissue_type	disease	dev_stage	host	host_sex	age	experimental_factor	first_public	submitted_ftp	submitted_md5	submitted_bytes	submitted_aspera	generated_ftp	generated_md5	generated_bytes	generated_aspera
ERZ312807	PRJEB9586	SAMEA3302695		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312807/LP6005441-DNA_F02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312807/LP6005441-DNA_F02.srt.aln.bam.bai	9844894e9d078a4e2ffacf9599a06d33;d26fd46fac2f940b520f2a8c82b3b9db	99483200193;8853664	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312807/LP6005441-DNA_F02.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312807/LP6005441-DNA_F02.srt.aln.bam.bai				
ERZ312808	PRJEB9586	SAMEA3302795		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312808/LP6005441-DNA_F03.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312808/LP6005441-DNA_F03.srt.aln.bam.bai	58629839be71f5a3db147e080cd8f311;c870fb84f1e4f99466d33f892b13dd35	99638444509;8853760	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312808/LP6005441-DNA_F03.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312808/LP6005441-DNA_F03.srt.aln.bam.bai				
ERZ312814	PRJEB9586	SAMEA3302627		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312814/LP6005441-DNA_F10.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312814/LP6005441-DNA_F10.srt.aln.bam.bai	30420bd80993978e9c7cd8e40b8123fe;8b4928e93d63f6738d451959f510e64b	104949083271;8837208	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312814/LP6005441-DNA_F10.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312814/LP6005441-DNA_F10.srt.aln.bam.bai				
ERZ312816	PRJEB9586	SAMEA3302689		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312816/LP6005441-DNA_G03.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312816/LP6005441-DNA_G03.srt.aln.bam.bai	b863bc59b7904dd2cb063e2297d0bc93;491f9901e0162af7c3c3cbcbb01cff52	102322355783;8876120	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312816/LP6005441-DNA_G03.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312816/LP6005441-DNA_G03.srt.aln.bam.bai				
ERZ312817	PRJEB9586	SAMEA3302870		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312817/LP6005441-DNA_G04.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312817/LP6005441-DNA_G04.srt.aln.bam.bai	02384cd0484904d6f30fa025763a5345;3c52c4d75c975584a320200393cee318	105844537696;8879360	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312817/LP6005441-DNA_G04.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312817/LP6005441-DNA_G04.srt.aln.bam.bai				
ERZ312819	PRJEB9586	SAMEA3302790		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312819/LP6005441-DNA_G06.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312819/LP6005441-DNA_G06.srt.aln.bam.bai	28afe09ba4b382f743c273d96f088c62;964865b74041abbb11005d8df5fa66b2	106575229237;8899816	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312819/LP6005441-DNA_G06.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312819/LP6005441-DNA_G06.srt.aln.bam.bai				
ERZ312824	PRJEB9586	SAMEA3302815		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312824/LP6005441-DNA_G11.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312824/LP6005441-DNA_G11.srt.aln.bam.bai	512eecc20f38a2cea352095b48571045;8116cd17bc7237d076cc758ffde7c989	94809617941;8869472	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312824/LP6005441-DNA_G11.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312824/LP6005441-DNA_G11.srt.aln.bam.bai				
ERZ312826	PRJEB9586	SAMEA3302845		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312826/LP6005441-DNA_H05.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312826/LP6005441-DNA_H05.srt.aln.bam.bai	c5687eeae262ec9298ccccc0cc796980;bc0c70fb439438e4e84a012ce5f8584a	101737803177;8849856	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312826/LP6005441-DNA_H05.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312826/LP6005441-DNA_H05.srt.aln.bam.bai				
ERZ312829	PRJEB9586	SAMEA3302836		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312829/LP6005441-DNA_H08.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312829/LP6005441-DNA_H08.srt.aln.bam.bai	e39d76328835647c7b33462842648573;bf7bdaad818bd1fabea168aa0aad6a57	99863179364;8855664	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312829/LP6005441-DNA_H08.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312829/LP6005441-DNA_H08.srt.aln.bam.bai				
ERZ312833	PRJEB9586	SAMEA3302838		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312833/LP6005442-DNA_A04.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312833/LP6005442-DNA_A04.srt.aln.bam.bai	961ffa35fad649284fb06623c2e2ca30;7b89de72844d562b1dbb947c6ae1379e	82076784457;8858624	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312833/LP6005442-DNA_A04.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312833/LP6005442-DNA_A04.srt.aln.bam.bai				
ERZ312842	PRJEB9586	SAMEA3302640		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312842/LP6005442-DNA_B11.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312842/LP6005442-DNA_B11.srt.aln.bam.bai	d8707427b8491f2a6f1d0df06818d810;24858f0e63fb42005d15e431ce6dd5f0	104416141929;8850688	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312842/LP6005442-DNA_B11.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312842/LP6005442-DNA_B11.srt.aln.bam.bai				
ERZ324265	PRJEB9586	SAMEA3302676		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-29	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324265/LP6005442-DNA_F10.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324265/LP6005442-DNA_F10.srt.aln.bam.bai	46410fcc371e6969736175871dd9e571;d87d0343782a19a5b6924f65635d9ec6	114908328566;8852416	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324265/LP6005442-DNA_F10.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324265/LP6005442-DNA_F10.srt.aln.bam.bai				
ERZ324266	PRJEB9586	SAMEA3302873		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-29	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324266/LP6005442-DNA_F11.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324266/LP6005442-DNA_F11.srt.aln.bam.bai	ef2ea727513d39de8ab3027cc67058d1;0b8c9321f7f91feb7f8551c0054b4d71	97648128611;8851432	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324266/LP6005442-DNA_F11.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324266/LP6005442-DNA_F11.srt.aln.bam.bai				
ERZ324274	PRJEB9586	SAMEA3302631		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-29	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324274/LP6005442-DNA_G10.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324274/LP6005442-DNA_G10.srt.aln.bam.bai	6cc7c62990cd2ff6941872d7190cf011;9ebb56dc5dfe17cfca8e15d9926ada68	102716306426;8879104	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324274/LP6005442-DNA_G10.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324274/LP6005442-DNA_G10.srt.aln.bam.bai				
ERZ324279	PRJEB9586	SAMEA3302664		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-29	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324279/LP6005442-DNA_H04.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324279/LP6005442-DNA_H04.srt.aln.bam.bai	12af761bca1c065b25cb850c78e50d31;4d33434381a3ea02be15c85a0d045a48	97615948394;8869648	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324279/LP6005442-DNA_H04.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324279/LP6005442-DNA_H04.srt.aln.bam.bai				
ERZ324285	PRJEB9586	SAMEA3302878		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-29	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324285/LP6005443-DNA_A02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324285/LP6005443-DNA_A02.srt.aln.bam.bai	79933e118dda1eb21cf34a0a3d1a0097;2d3460d830ea7a9dc35438e8ce986bab	121924314937;8895184	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324285/LP6005443-DNA_A02.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324285/LP6005443-DNA_A02.srt.aln.bam.bai				
ERZ324287	PRJEB9586	SAMEA3302763		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-29	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324287/LP6005443-DNA_A06.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324287/LP6005443-DNA_A06.srt.aln.bam.bai	3484f03db4561a4fb315de1cb6dcf105;e1c648fc1fa21b5a3826317515e87a7d	115265731903;8877432	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324287/LP6005443-DNA_A06.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324287/LP6005443-DNA_A06.srt.aln.bam.bai				
ERZ324288	PRJEB9586	SAMEA3302663		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-29	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324288/LP6005443-DNA_A07.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324288/LP6005443-DNA_A07.srt.aln.bam.bai	8536ac0c3c35b3cd5d15276163260891;43e7c74e0a4b93bc6bee1981c9f3ffa6	132553526587;8914272	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324288/LP6005443-DNA_A07.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324288/LP6005443-DNA_A07.srt.aln.bam.bai				
ERZ324292	PRJEB9586	SAMEA3302818		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-29	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324292/LP6005443-DNA_B02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324292/LP6005443-DNA_B02.srt.aln.bam.bai	cb61c4e065957be4819acb34d24a188e;6ae088e43cb658264cf2cfcfd24e771f	124828342602;8884640	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324292/LP6005443-DNA_B02.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324292/LP6005443-DNA_B02.srt.aln.bam.bai				
ERZ324299	PRJEB9586	SAMEA3302612		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-29	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324299/LP6005443-DNA_B10.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324299/LP6005443-DNA_B10.srt.aln.bam.bai	2aaa9d718631453725fd7cc43f62cd49;cacbc9889eb8204d469fbf763b549a57	112860245253;8882680	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324299/LP6005443-DNA_B10.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324299/LP6005443-DNA_B10.srt.aln.bam.bai				
ERZ324300	PRJEB9586	SAMEA3302648		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-29	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324300/LP6005443-DNA_C02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324300/LP6005443-DNA_C02.srt.aln.bam.bai	cd18d8e69de17d63808ade44711053f9;4d7f23c1a3113a3e9b0f27d0fbbfe779	128633840605;8888408	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324300/LP6005443-DNA_C02.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324300/LP6005443-DNA_C02.srt.aln.bam.bai				
ERZ324308	PRJEB9586	SAMEA3302802		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-29	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324308/LP6005443-DNA_D02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324308/LP6005443-DNA_D02.srt.aln.bam.bai	ca85b4ef99c3c6ddcce6d5ccc40b4d79;5b575e0349e391247adced72483925f8	115592098661;8887576	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324308/LP6005443-DNA_D02.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324308/LP6005443-DNA_D02.srt.aln.bam.bai				
ERZ324310	PRJEB9586	SAMEA3302806		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-29	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324310/LP6005443-DNA_D04.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324310/LP6005443-DNA_D04.srt.aln.bam.bai	1264c6022daf18d0b1dce1ad2959dbf9;af0c4eec68161b427984341839d670fe	117969176475;8881016	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324310/LP6005443-DNA_D04.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324310/LP6005443-DNA_D04.srt.aln.bam.bai				
ERZ324311	PRJEB9586	SAMEA3302889		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-29	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324311/LP6005443-DNA_D05.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324311/LP6005443-DNA_D05.srt.aln.bam.bai	b5ce6cac5065968f89082263c7dab78d;837ae3b4fe3ed761d4caf054ca3a55b7	120708228658;8860640	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324311/LP6005443-DNA_D05.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324311/LP6005443-DNA_D05.srt.aln.bam.bai				
ERZ324312	PRJEB9586	SAMEA3302778		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-29	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324312/LP6005443-DNA_D06.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324312/LP6005443-DNA_D06.srt.aln.bam.bai	8c47a58798f6a6779ffbadc3ebe96e4e;7f97c55386a751ada8f1753389a0f1a1	114687259604;8879136	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324312/LP6005443-DNA_D06.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ324/ERZ324312/LP6005443-DNA_D06.srt.aln.bam.bai				
