analysis_accession	study_accession	sample_accession	analysis_type	tax_id	scientific_name	submitted_ftp
ERZ312777	PRJEB9586	SAMEA3302828	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312777/LP6005441-DNA_B05.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312777/LP6005441-DNA_B05.srt.aln.bam.bai
ERZ312770	PRJEB9586	SAMEA3302776	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312770/LP6005441-DNA_A09.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312770/LP6005441-DNA_A09.srt.aln.bam.bai
ERZ312778	PRJEB9586	SAMEA3302855	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312778/LP6005441-DNA_B06.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312778/LP6005441-DNA_B06.srt.aln.bam.bai
ERZ312772	PRJEB9586	SAMEA3302682	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312772/LP6005441-DNA_A11.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312772/LP6005441-DNA_A11.srt.aln.bam.bai
ERZ312774	PRJEB9586	SAMEA3302728	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312774/LP6005441-DNA_B01.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312774/LP6005441-DNA_B01.srt.aln.bam.bai
ERZ312796	PRJEB9586	SAMEA3302639	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312796/LP6005441-DNA_D10.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312796/LP6005441-DNA_D10.srt.aln.bam.bai
ERZ312799	PRJEB9586	SAMEA3302823	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312799/LP6005441-DNA_E02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312799/LP6005441-DNA_E02.srt.aln.bam.bai
ERZ312801	PRJEB9586	SAMEA3302731	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312801/LP6005441-DNA_E05.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312801/LP6005441-DNA_E05.srt.aln.bam.bai
ERZ312776	PRJEB9586	SAMEA3302669	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312776/LP6005441-DNA_B04.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312776/LP6005441-DNA_B04.srt.aln.bam.bai
ERZ312779	PRJEB9586	SAMEA3302882	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312779/LP6005441-DNA_B07.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312779/LP6005441-DNA_B07.srt.aln.bam.bai
ERZ312803	PRJEB9586	SAMEA3302756	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312803/LP6005441-DNA_E07.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312803/LP6005441-DNA_E07.srt.aln.bam.bai
ERZ312781	PRJEB9586	SAMEA3302620	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312781/LP6005441-DNA_B09.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312781/LP6005441-DNA_B09.srt.aln.bam.bai
ERZ312782	PRJEB9586	SAMEA3302621	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312782/LP6005441-DNA_C02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312782/LP6005441-DNA_C02.srt.aln.bam.bai
ERZ312783	PRJEB9586	SAMEA3302804	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312783/LP6005441-DNA_C05.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312783/LP6005441-DNA_C05.srt.aln.bam.bai
ERZ312806	PRJEB9586	SAMEA3302779	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312806/LP6005441-DNA_E10.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312806/LP6005441-DNA_E10.srt.aln.bam.bai
ERZ312787	PRJEB9586	SAMEA3302667	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312787/LP6005441-DNA_C09.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312787/LP6005441-DNA_C09.srt.aln.bam.bai
ERZ312807	PRJEB9586	SAMEA3302695	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312807/LP6005441-DNA_F02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312807/LP6005441-DNA_F02.srt.aln.bam.bai
ERZ312790	PRJEB9586	SAMEA3302903	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312790/LP6005441-DNA_D02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312790/LP6005441-DNA_D02.srt.aln.bam.bai
ERZ312791	PRJEB9586	SAMEA3302782	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312791/LP6005441-DNA_D03.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312791/LP6005441-DNA_D03.srt.aln.bam.bai
ERZ312792	PRJEB9586	SAMEA3302785	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312792/LP6005441-DNA_D04.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312792/LP6005441-DNA_D04.srt.aln.bam.bai
ERZ312793	PRJEB9586	SAMEA3302770	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312793/LP6005441-DNA_D05.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312793/LP6005441-DNA_D05.srt.aln.bam.bai
ERZ312808	PRJEB9586	SAMEA3302795	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312808/LP6005441-DNA_F03.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312808/LP6005441-DNA_F03.srt.aln.bam.bai
ERZ312802	PRJEB9586	SAMEA3302754	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312802/LP6005441-DNA_E06.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312802/LP6005441-DNA_E06.srt.aln.bam.bai
ERZ312805	PRJEB9586	SAMEA3302893	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312805/LP6005441-DNA_E09.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312805/LP6005441-DNA_E09.srt.aln.bam.bai
ERZ312814	PRJEB9586	SAMEA3302627	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312814/LP6005441-DNA_F10.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312814/LP6005441-DNA_F10.srt.aln.bam.bai
ERZ312816	PRJEB9586	SAMEA3302689	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312816/LP6005441-DNA_G03.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312816/LP6005441-DNA_G03.srt.aln.bam.bai
ERZ312810	PRJEB9586	SAMEA3302761	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312810/LP6005441-DNA_F06.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312810/LP6005441-DNA_F06.srt.aln.bam.bai
ERZ312817	PRJEB9586	SAMEA3302870	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312817/LP6005441-DNA_G04.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312817/LP6005441-DNA_G04.srt.aln.bam.bai
ERZ312811	PRJEB9586	SAMEA3302850	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312811/LP6005441-DNA_F07.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312811/LP6005441-DNA_F07.srt.aln.bam.bai
ERZ312819	PRJEB9586	SAMEA3302790	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312819/LP6005441-DNA_G06.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312819/LP6005441-DNA_G06.srt.aln.bam.bai
ERZ312812	PRJEB9586	SAMEA3302743	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312812/LP6005441-DNA_F08.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312812/LP6005441-DNA_F08.srt.aln.bam.bai
ERZ312813	PRJEB9586	SAMEA3302614	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312813/LP6005441-DNA_F09.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312813/LP6005441-DNA_F09.srt.aln.bam.bai
ERZ312824	PRJEB9586	SAMEA3302815	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312824/LP6005441-DNA_G11.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312824/LP6005441-DNA_G11.srt.aln.bam.bai
ERZ312826	PRJEB9586	SAMEA3302845	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312826/LP6005441-DNA_H05.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312826/LP6005441-DNA_H05.srt.aln.bam.bai
ERZ312829	PRJEB9586	SAMEA3302836	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312829/LP6005441-DNA_H08.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312829/LP6005441-DNA_H08.srt.aln.bam.bai
ERZ312815	PRJEB9586	SAMEA3302665	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312815/LP6005441-DNA_F12.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312815/LP6005441-DNA_F12.srt.aln.bam.bai
ERZ312821	PRJEB9586	SAMEA3302825	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312821/LP6005441-DNA_G08.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312821/LP6005441-DNA_G08.srt.aln.bam.bai
ERZ312825	PRJEB9586	SAMEA3302791	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312825/LP6005441-DNA_H03.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312825/LP6005441-DNA_H03.srt.aln.bam.bai
ERZ312827	PRJEB9586	SAMEA3302662	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312827/LP6005441-DNA_H06.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312827/LP6005441-DNA_H06.srt.aln.bam.bai
ERZ312833	PRJEB9586	SAMEA3302838	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312833/LP6005442-DNA_A04.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312833/LP6005442-DNA_A04.srt.aln.bam.bai
ERZ312831	PRJEB9586	SAMEA3302685	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312831/LP6005441-DNA_H11.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312831/LP6005441-DNA_H11.srt.aln.bam.bai
ERZ312842	PRJEB9586	SAMEA3302640	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312842/LP6005442-DNA_B11.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312842/LP6005442-DNA_B11.srt.aln.bam.bai
ERZ324265	PRJEB9586	SAMEA3302676	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324265/LP6005442-DNA_F10.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324265/LP6005442-DNA_F10.srt.aln.bam.bai
ERZ312835	PRJEB9586	SAMEA3302628	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312835/LP6005442-DNA_A10.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312835/LP6005442-DNA_A10.srt.aln.bam.bai
ERZ324266	PRJEB9586	SAMEA3302873	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324266/LP6005442-DNA_F11.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324266/LP6005442-DNA_F11.srt.aln.bam.bai
ERZ312836	PRJEB9586	SAMEA3302789	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312836/LP6005442-DNA_A12.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312836/LP6005442-DNA_A12.srt.aln.bam.bai
ERZ324274	PRJEB9586	SAMEA3302631	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324274/LP6005442-DNA_G10.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324274/LP6005442-DNA_G10.srt.aln.bam.bai
ERZ324279	PRJEB9586	SAMEA3302664	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324279/LP6005442-DNA_H04.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324279/LP6005442-DNA_H04.srt.aln.bam.bai
ERZ312837	PRJEB9586	SAMEA3302611	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312837/LP6005442-DNA_B01.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312837/LP6005442-DNA_B01.srt.aln.bam.bai
ERZ324285	PRJEB9586	SAMEA3302878	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324285/LP6005443-DNA_A02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324285/LP6005443-DNA_A02.srt.aln.bam.bai
ERZ312839	PRJEB9586	SAMEA3302842	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312839/LP6005442-DNA_B03.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312839/LP6005442-DNA_B03.srt.aln.bam.bai
ERZ312844	PRJEB9586	SAMEA3302655	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312844/LP6005442-DNA_C02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312844/LP6005442-DNA_C02.srt.aln.bam.bai
ERZ324287	PRJEB9586	SAMEA3302763	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324287/LP6005443-DNA_A06.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324287/LP6005443-DNA_A06.srt.aln.bam.bai
ERZ312847	PRJEB9586	SAMEA3302812	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312847/LP6005442-DNA_C11.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312847/LP6005442-DNA_C11.srt.aln.bam.bai
ERZ324288	PRJEB9586	SAMEA3302663	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324288/LP6005443-DNA_A07.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324288/LP6005443-DNA_A07.srt.aln.bam.bai
ERZ312848	PRJEB9586	SAMEA3302755	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312848/LP6005442-DNA_D01.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312848/LP6005442-DNA_D01.srt.aln.bam.bai
ERZ324292	PRJEB9586	SAMEA3302818	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324292/LP6005443-DNA_B02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324292/LP6005443-DNA_B02.srt.aln.bam.bai
ERZ324259	PRJEB9586	SAMEA3302854	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324259/LP6005442-DNA_E11.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324259/LP6005442-DNA_E11.srt.aln.bam.bai
ERZ324262	PRJEB9586	SAMEA3302753	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324262/LP6005442-DNA_F02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324262/LP6005442-DNA_F02.srt.aln.bam.bai
ERZ324263	PRJEB9586	SAMEA3302675	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324263/LP6005442-DNA_F04.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324263/LP6005442-DNA_F04.srt.aln.bam.bai
ERZ324264	PRJEB9586	SAMEA3302810	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324264/LP6005442-DNA_F09.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324264/LP6005442-DNA_F09.srt.aln.bam.bai
ERZ324299	PRJEB9586	SAMEA3302612	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324299/LP6005443-DNA_B10.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324299/LP6005443-DNA_B10.srt.aln.bam.bai
ERZ324267	PRJEB9586	SAMEA3302764	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324267/LP6005442-DNA_F12.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324267/LP6005442-DNA_F12.srt.aln.bam.bai
ERZ324268	PRJEB9586	SAMEA3302615	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324268/LP6005442-DNA_G01.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324268/LP6005442-DNA_G01.srt.aln.bam.bai
ERZ324300	PRJEB9586	SAMEA3302648	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324300/LP6005443-DNA_C02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324300/LP6005443-DNA_C02.srt.aln.bam.bai
ERZ324308	PRJEB9586	SAMEA3302802	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324308/LP6005443-DNA_D02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324308/LP6005443-DNA_D02.srt.aln.bam.bai
ERZ324273	PRJEB9586	SAMEA3302741	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324273/LP6005442-DNA_G09.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324273/LP6005442-DNA_G09.srt.aln.bam.bai
ERZ324310	PRJEB9586	SAMEA3302806	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324310/LP6005443-DNA_D04.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ324/ERZ324310/LP6005443-DNA_D04.srt.aln.bam.bai
