# nrow	Sequencing Panel	Sample ID (Illumina)	Sample ID (Collaborator)	Sample ID (SGDP)	DNA Source	Embargo level (X=Fully Public, Y=Signed Letter)	Genetic sex assignment	Population ID	Region	Country	Town	Latitude	Longitude	Coverage (mean)	Number of bases covered without masking	Number of bases covered filter level >=0	Number of bases covered filter level >=1	Number of bases covered filter level >=9	Divergence per bp to hg19 without masking	Divergence per bp to hg19 filter level >=0	Divergence per bp to hg19 filter level >=1	Divergence per bp to hg19 filter level >=9	mtDNA haplogroup	Y haplogroup	samtools autosomal heterozygosity	samtools X heterozygosity	mlrho autosomal heterozygosity	mlrho X chromosome heterozygosity	zygosities:mlrho_X_het_lowerBound	zygosities:mlrho_X_het_upperBound	GATK heterozygosity rate filter level without masking	GATK heterozygosity rate filter level filter level >=0	GATK heterozygosity rate filter level filter level >=1	GATK heterozygosity rate filter level filter level >=9	Neanderthal ancestry estimate based on rate of nd10 sites	Denisova ancestry estimate based on rate of nd10 sites	Discordance rate with Human Origins SNP array	Fraction of variants not seen in 1kg at filter level >=1 	Fraction of genome covered at 20X	Fraction of genome covered at 10X	Concordance with Omni genotyping array	Contamination estimate (conTEST) at filter level>=0 (fraction)	Contamination estimate (conTEST) at filter level>=1 (fraction)	Contamination estimate (conTEST) at filter level>=9 (fraction)
11	B	SS6004477	IHW9193	B_Australian-4	Genomic_from_cell_lines	X	XY	Australian	Oceania	Australia	Cell_line_repository_sampling_location_unknown	-13	143	43.26	2651401348	2324793066	2129222408	1207841185	0.001078826	0.000959245	0.000919129	0.000915	S2	C4a	..	4.27e-05	0.000803	6.42e-05	6.26e-05	6.59e-05	0.00079029	0.000652382	0.000626456	0.000619596	0.025	0.051	..	0.0533	0.88	0.92		0.001	0.001	0.001
12	B	SS6004472	HGDP00546	B_Papuan-15	Genomic_from_cell_lines	X	XY	Papuan	Oceania	PapuaNewGuinea	?	-4	143	44.45	2648625110	2321231351	2115945649	1171827915	0.001079952	0.000960482	0.000919878	0.000917	P1d1	C2a	..	3.53e-05	0.000736	5.79e-05	5.63e-05	5.95e-05	0.00071823	0.000589441	0.000566458	0.000564922	0.024	0.051	0.002	0.0532	0.89	0.92		0.001	0.001	0.001
13	B	LP6007076-DNA_A01	SS6004486	BR_Kashmiri_Pandit-1	Genomic_from_blood	Y	XY	Kashmiri_Pandit	SouthAsia	India	Draw, Jammu & Kashmir	?	?	36.58	2649576904	2323079548	2127270043	1165908788	0.001030503	0.000914624	0.000877034	0.000869	M35a	Q1a1b1	0.000863594	3.93e-05	0.000919	6.03e-05	5.88e-05	6.19e-05	0.000903617	0.000765717	0.000736956	0.000724976	0.021	0.003	..	0.017	0.86	0.92		0.001	0.001	0.001
14	B	LP6007071-DNA_A01	SS6004481	BR_Kharia-1	Genomic_from_blood	Y	XY	Kharia	SouthAsia	India	Tapkara, Chattisgarh	?	?	43.47	2649973985	2324071277	2124904060	1156524453	0.001043995	0.000928726	0.000889802	0.000886	M3	Q1a2	0.000863938	4.02e-05	0.000914	5.8e-05	5.64e-05	5.96e-05	0.000896799	0.000757234	0.000728881	0.0007214	0.021	0.006	..	0.0204	0.89	0.92		0.001	0.001	0.001
15	B	LP6007072-DNA_A01	SS6004482	BR_Kurumba-1	Genomic_from_blood	Y	XY	Kurumba	SouthAsia	India	Palakkad, Kerala	?	?	40.39	2649717257	2315291175	2123064288	1181241404	0.001045746	0.000927411	0.000891684	0.000895	M36d1	H1	0.000826589	3.35e-05	0.000875	5.49e-05	5.34e-05	5.64e-05	0.000863702	0.000723772	0.000698243	0.000698766	0.023	0.006	..	0.0206	0.88	0.92		0.001	0.001	0.001
16	B	LP6007075-DNA_A01	SS6004485	BR_Mala-1	Genomic_from_blood	Y	XX	Mala	SouthAsia	India	Vishakapatman, Andhra Pradesh	?	?	37.68	2649989231	2297898051	2095041309	1191225202	0.00104104	0.000918621	0.000881306	0.000882	U2c1	..	0.000887523	0.000517767	0.00092	0.000582	0.000577	0.000588	0.000927041	0.000778323	0.000748801	0.000750371	0.022	0.005	..	0.0178	0.89	0.91		0.001	0.001	0.001
17	B	LP6007073-DNA_A01	SS6004483	BR_Onge-1	Genomic_from_blood	Y	XX	Onge	SouthAsia	India	Andaman & Nicobar	11.74	92.66	42.38	2650160882	2316298656	2114705889	1200465054	0.001055653	0.000934816	0.000895714	0.000895	M31a1b	..	0.000745045	0.000346667	0.000766	0.0004	0.000395	0.000404	0.000777781	0.000638615	0.000613186	0.000612694	0.021	0.004	..	0.0375	0.9	0.91		0.001	0.001	0.001
18	B	LP6007074-DNA_A01	SS6004484	BR_Onge-2	Genomic_from_blood	Y	XX	Onge	SouthAsia	India	Andaman & Nicobar	11.74	92.66	40.77	2649634607	2320861980	2127779906	1209188328	0.001056183	0.000937356	0.000898823	0.000896	M32a	..	0.000726133	0.000376106	0.00076	0.000446	0.000441	0.000451	0.000766637	0.000631622	0.000606957	0.000605949	0.021	0.005	..	0.0376	0.9	0.91		0.001	0.001	0.001
19	B	LP6007069-DNA_A01	AV-21	B_Crete-1	Genomic_from_blood	X	XX	Crete	WestEurasia	Greece	Preveliana, Irakleioy	?	?	42.34	2649968562	2320391934	2115812291	1176713886	0.001015278	0.000902115	0.00086287	0.00086	HV1a	..	0.000883433	0.000460267	0.000903	0.000512	0.000507	0.000517	0.000917128	0.000781972	0.000750575	0.000743301	0.018	0.001	..	0.0158	0.9	0.91		0.001	0.001	0.001
20	B	LP6007068-DNA_A01	TZ-11	B_Crete-2	Genomic_from_blood	X	XY	Crete	WestEurasia	Greece	Psychro ,Lassithi	?	?	42.74	2649344816	2324005725	2119382895	1208930794	0.001018434	0.000907062	0.00086758	0.000865	HV:1	R1b1a2a1a2a1	0.000838402	4.01e-05	0.000894	5.77e-05	5.61e-05	5.92e-05	0.000874793	0.000745918	0.000717401	0.000714544	0.019	0.001	..	0.0158	0.89	0.92		0.001	0.001	0.001
21	B	SS6004468	HGDP00533	B_French-3	Genomic_from_cell_lines	X	XY	French	WestEurasia	France	?	46	2	43.37	2650498683	2324957966	2119700301	1228347831	0.001014654	0.000902589	0.000861686	0.000845	U5b1c1a	R1b1a2a1a1	..	4.2e-05	0.000918	6.31e-05	6.15e-05	6.48e-05	0.000879413	0.000746557	0.00071685	0.000704277	0.018	0	0.002	0.0142	0.89	0.92		0.001	0.001	0.001
22	B	SS6004474	HGDP01076	B_Sardinian-3	Genomic_from_cell_lines	X	XY	Sardinian	WestEurasia	Italy	?	40	9	39.48	2650449093	2325668323	2138385770	1190834110	0.001020567	0.000905714	0.000866102	0.000851	J2b1a	J1b2b	..	3.79e-05	0.00089	5.93e-05	5.78e-05	6.09e-05	0.000860271	0.000724352	0.000696598	0.000691938	0.018	0.001	0.005	0.0163	0.88	0.92		0.001	0.001	0.001
23	C	LP6005443-DNA_E02	HGDP01028	S_BantuHerero-1	Genomic_from_cell_lines	X	XY	BantuHerero	Africa	BotswanaOrNamibia	?	-22	19	44.71	2655273999	2323839701	2154554839	1180435054	0.001197398	0.001067239	0.001017759	0.000974	L3d3a	E1b1a1a1a	0.0010977	5.71e-05	0.00118	7.31e-05	7.13e-05	7.49e-05	0.001146259	0.00098025	0.000941231	0.000900076	0	0	0.004	0.0157	0.9	0.92	0.992	0.001	0.001	0.001
24	C	LP6005441-DNA_F01	HGDP01035	S_BantuHerero-2	Genomic_from_cell_lines	X	XY	BantuHerero	Africa	BotswanaOrNamibia	?	-22	19	41.23	2656298604	2323915548	2125666110	1232223181	0.0012071	0.00107367	0.00102225	0.000986	L3d3a	E1b1a1a1a	0.00112037	5.13e-05	0.0012	7.99e-05	7.8e-05	8.17e-05	0.001168162	0.000996481	0.000955533	0.000926191	0	0	0.005	0.0155	0.89	0.92	0.992	0.001	0.001	0.001
25	C	LP6005443-DNA_A01	HGDP01417	S_BantuKenya-1	Genomic_from_cell_lines	X	XY	BantuKenya	Africa	Kenya	?	-3	37	49.19	2656467823	2321875884	2138429179	1246858255	0.001186736	0.001057581	0.001005902	0.000959	L3e2b:0	E2b1a	0.00111297	5.56e-05	0.0012	7.73e-05	7.54e-05	7.92e-05	0.001163666	0.000997397	0.000955396	0.000914514	0.001	0	0.003	0.0177	0.91	0.92	0.993	0.001	0.001	0.001
26	C	LP6005441-DNA_B02	HGDP01414	S_BantuKenya-2	Genomic_from_cell_lines	X	XX	BantuKenya	Africa	Kenya	?	-3	37	37.87	2655895498	2323787345	2158261126	1249588260	0.001187419	0.001058426	0.001011215	0.000981	L3b1a1a	..	0.00114156	0.000722054	0.00118	0.000806	0.000799	0.000813	0.001192827	0.00102495	0.000985103	0.00096059	0	0	0.003	0.0181	0.9	0.91	0.992	0.001	0.001	0.001
27	C	LP6005443-DNA_G02	HGDP01030	S_BantuTswana-1	Genomic_from_cell_lines	X	XY	BantuTswana	Africa	BotswanaOrNamibia	?	-28	24	43.54	2655964578	2325754587	2156126721	1254130249	0.001241776	0.001106721	0.001053595	0.001007	L0d2a1	E1b1a1a1f	0.00115738	7.16e-05	0.00123	6.75e-05	6.58e-05	6.92e-05	0.001213044	0.001039535	0.000996067	0.000954278	0.002	0.003	0.004	0.0353	0.9	0.92	0.992	0.001	0.001	0.001
28	C	LP6005443-DNA_F02	HGDP01034	S_BantuTswana-2	Genomic_from_cell_lines	X	XY	BantuTswana	Africa	BotswanaOrNamibia	?	-28	24	38.73	2656587769	2327196075	2151190080	1169358992	0.001215618	0.001085205	0.001034658	0.000988	L0d1b1	E1b1a1a1f1a1	0.00113972	6.46e-05	0.00122	7.16e-05	6.98e-05	7.33e-05	0.001194206	0.001026975	0.000985709	0.000938768	0.001	0.002	0.004	0.0263	0.88	0.92	0.993	..	0.001	0.001
29	C	LP6005441-DNA_G02	HGDP00457	S_Biaka-1	Genomic_from_cell_lines	X	XY	Biaka	Africa	Central African Republic	?	4	17	44.08	2655639307	2326781146	2145871287	1223336736	0.001256743	0.001120458	0.001067553	0.001021	L0a2a1	B2a1a	0.00115622	5.63e-05	0.00125	8.7e-05	8.51e-05	8.89e-05	0.001212044	0.001038631	0.000996596	0.000958037	0.002	0.004	0.004	0.0415	0.9	0.92	0.993	0.001	0.001	0.001
30	C	LP6005441-DNA_H02	HGDP00461	S_Biaka-2	Genomic_from_cell_lines	X	XY	Biaka	Africa	Central African Republic	?	4	17	43.59	2655483203	2313880438	2127993564	1158998901	0.001257063	0.001120808	0.001068991	0.001027	L1c4b	B2b1a1b	0.0011541	5.95e-05	0.00124	8.96e-05	8.76e-05	9.16e-05	0.00120556	0.001030091	0.000990163	0.000946684	0.002	0.004	0.004	0.0432	0.9	0.92	0.992	0.001	0.001	0.001
31	C	LP6005443-DNA_H08	DNK05	S_Dinka-1	Genomic_from_saliva	X	XY	Dinka	Africa	Sudan	Aweil	8.8	27.4	40.04	2655441334	2322157105	2112291521	1237541823	0.001173461	0.001045217	0.000994171	0.000954	L2a2a1	E2a	0.00106153	5.24e-05	0.00113	7.27e-05	7.1e-05	7.45e-05	0.001110758	0.000947239	0.000905985	0.00087269	0	0	0.006	0.0244	0.89	0.92	0.993	0.001	0.001	0.001
32	C	LP6005443-DNA_B09	DNK11	S_Dinka-2	Genomic_from_saliva	X	XY	Dinka	Africa	Sudan	Aweil	8.8	27.4	36.6	2654453752	2321765632	2106510816	1159789648	0.001177523	0.001049926	0.000998315	0.000958	L4b2a2a	A1b1b2b1	0.00106564	5.4e-05	0.00113	6.96e-05	6.8e-05	7.14e-05	0.001114334	0.000954827	0.000912501	0.000876832	0	0	0.005	0.0242	0.88	0.92	0.992	0.001	0.001	0.001
33	C	LP6005442-DNA_A10	HG03100	S_Esan-1	Genomic_from_cell_lines	X	XY	Esan	Africa	Nigeria	?	6.5	6	35.59	2657759572	2327948208	2139228496	1194480093	0.001185348	0.001060299	0.001010482	0.000969	L3d1d	E1b1a1a1g1	0.00109226	5.21e-05	0.00117	7.67e-05	7.49e-05	7.85e-05	0.001139235	0.000980717	0.000941076	0.000904147	0	0	0.003	0.0077	0.87	0.92	0.992	0.001	0.001	0.001
34	C	LP6005442-DNA_B10	HG02943	S_Esan-2	Genomic_from_cell_lines	X	XX	Esan	Africa	Nigeria	?	6.5	6	41.38	2657191624	2325452315	2146839833	1184563382	0.001188046	0.001060376	0.001009906	0.000965	L3e3b	..	0.00114413	0.000725422	0.00118	0.000804	0.000798	0.000811	0.001191758	0.001024939	0.000981663	0.000942626	0	0	0.002	0.0077	0.91	0.91	0.992	0.001	0.001	0.001
35	C	LP6005442-DNA_G10	HG02464	S_Gambian-1	Genomic_from_cell_lines	X	XY	Gambian	Africa	Gambia	Western District	13.4	16.7	40.34	2655742765	2325845616	2130982308	1276871774	0.001191177	0.00106383	0.001012241	0.000973	L3e4	E1b1a1a1f	0.00109896	5.21e-05	0.00118	7.61e-05	7.43e-05	7.78e-05	0.001147555	0.000985701	0.000944281	0.00091132	0	0	0.002	0.008	0.89	0.92	0.993	0.001	0.001	0.001
36	C	LP6005442-DNA_H10	HG02574	S_Gambian-2	Genomic_from_cell_lines	X	XX	Gambian	Africa	Gambia	Western District	13.4	16.7	38.92	2655844571	2324930762	2148370503	1273369178	0.001181234	0.001052741	0.001002259	0.000964	L3d2	..	0.00114846	0.000741859	0.00119	0.000827	0.000821	0.000834	0.00119509	0.001028131	0.000985151	0.000953456	0	0	0.003	0.0081	0.9	0.91	0.992	0.001	0.001	0.001
37	C	LP6005519-DNA_A12	NGIB034	S_Igbo-1	Genomic_from_blood	Y	XY	Igbo	Africa	Nigeria	Kwamba Suleja	6	7	46.87	2655671284	2328708622	2136627695	1199270866	0.00119634	0.001067495	0.001016837	0.000976	L2a1e1	E1b1a1a1f1a1	0.00110151	5.02e-05	0.00117	7.74e-05	7.55e-05	7.92e-05	0.001149048	0.000985375	0.000944101	0.00090852	0	0	..	0.0128	0.9	0.92	0.992	0.001	0.001	0.001
38	C	LP6005519-DNA_B12	NGIB042	S_Igbo-2	Genomic_from_blood	Y	XX	Igbo	Africa	Nigeria	Kwamba Suleja	6	7	33.94	2655661433	2329301825	2160335929	1161346809	0.001192511	0.001063681	0.001016806	0.000985	L3d1a:0	..	0.001149	0.000747154	0.00118	0.000827	0.000821	0.000834	0.001199367	0.001033079	0.000992243	0.000964404	0	0	..	0.0133	0.89	0.91	0.993	0.001	0.001	0.001
39	C	LP6005443-DNA_G08	HGDP00991	S_Ju_hoan_North-1	Genomic_from_cell_lines	X	XY	Ju_hoan_North	Africa	Namibia	?	-18.9	21.5	46.49	2654840514	2296597368	2112111388	1205993199	0.00131632	0.001173328	0.001117018	0.00107	L0d1c	B2b1b	0.00112675	5.93e-05	0.00122	8.84e-05	8.64e-05	9.04e-05	0.001180153	0.001001704	0.0009603	0.000923181	0.006	0.015	0.004	0.106	0.9	0.92	0.993	..	0.001	0.001
40	C	LP6005441-DNA_B11	HGDP00987	S_Ju_hoan_North-2	Genomic_from_cell_lines	X	XY	Ju_hoan_North	Africa	Namibia	?	-18.9	21.5	34.22	2654226015	2319526765	2081556618	1217589965	0.001311067	0.001173851	0.001114614	0.001053	L0d1b	A1b1a1a2b	0.0011077	5.48e-05	0.00117	6.67e-05	6.51e-05	6.84e-05	0.001162223	0.000996531	0.000953493	0.000904606	0.006	0.015	0.004	0.1014	0.86	0.92	0.993	..	0.001	0.001
41	C	LP6005441-DNA_A11	HGDP01032	S_Ju_hoan_North-3	Genomic_from_cell_lines	X	XY	Ju_hoan_North	Africa	Namibia	?	-18.9	21.5	37.24	2654996142	2314903673	2045047957	1193068117	0.001307197	0.001169861	0.001108615	0.001051	L0d1b	B2b1b	..	5.1e-05	0.00119	6.17e-05	6.01e-05	6.33e-05	0.001174023	0.001007089	0.000962031	0.000913565	0.006	0.015	0.006	0.1019	0.88	0.92	0.993	..	0.001	0.001
42	C	LP6005677-DNA_D03	SA0342	S_Khomani_San-1	Genomic_from_saliva	X	XX	Khomani_San	Africa	SouthAfrica	Andriesvale Northern Cape, South Africa	-27	20.8	47.38	2655076246	2324417467	2142920476	1263903104	0.001315859	0.001173726	0.001117465	0.001074	L0d2a1	..	0.00106745	0.000542506	0.00112	0.000631	0.000625	0.000638	0.001129834	0.000954773	0.000914361	0.000883954	0.006	0.013	..	0.1089	0.91	0.91	0.992	..	..	0.001
43	C	LP6005592-DNA_C05	SA0722	S_Khomani_San-2	Genomic_from_saliva	X	XX	Khomani_San	Africa	SouthAfrica	Andriesvale, Northern Cape, South Africa	-27	20.8	51.72	2634857832	2310863083	2130844614	1159960531	0.001315502	0.001173965	0.001118035	0.001071	L0d2a1	..	0.00116076	0.000781539	0.0012	0.000877	0.00087	0.000885	0.001218266	0.001041669	0.000998367	0.000959681	0.005	0.013	..	0.1055	0.91	0.91	0.992	..	0.001	0.001
44	C	LP6005519-DNA_A09	COKN016	S_Kongo-2	Genomic_from_blood	Y	XX	Kongo	Africa	Congo	Bandevouri-Fang	2.5	11.8	47.46	2658048398	2319747684	2121991380	1153241964	0.001199711	0.001069729	0.001018075	0.000972	L3b1a1	..	0.00116947	0.000708225	0.0012	0.00079	0.000783	0.000797	0.001216968	0.001044559	0.000999489	0.000959315	0	0	..	0.0144	0.91	0.91	0.992	0.001	0.001	0.001
45	C	LP6005677-DNA_C04	CALM031	S_Lemande-1	Genomic_from_blood	Y	XX	Lemande	Africa	Cameroon	Tobagne	4.5	11.1	39.94	2656264710	2322724963	2106332181	1240605941	0.001194834	0.001065428	0.001012769	0.000977	L1b1a	..	0.00115159	0.000779996	0.00119	0.000862	0.000855	0.000869	0.001205369	0.001034693	0.000989216	0.000956811	0	0	..	0.0134	0.9	0.91	0.993	0.001	0.001	0.001
46	C	LP6005677-DNA_D04	CALM016	S_Lemande-2	Genomic_from_blood	Y	XY	Lemande	Africa	Cameroon	Tobagne	4.5	11.1	40.97	2657105707	2327723878	2144465970	1204861140	0.001196802	0.001065316	0.001014924	0.000978	L0a1	E1b1a1a1f1a1d	0.00111433	5.03e-05	0.00119	7.99e-05	7.81e-05	8.18e-05	0.001170152	0.000998063	0.000956603	0.000917764	0	0	..	0.0146	0.89	0.92	0.993	0.001	0.001	0.001
47	C	LP6005442-DNA_F11	NA19023	S_Luhya-1	Genomic_from_cell_lines	X	XX	Luhya	Africa	Kenya	Webuye	1.3	36.8	38.91	2655389280	2325977628	2147851294	1279643054	0.0011881	0.00106207	0.001012399	0.000973	L2a1f	..	0.00115324	0.00081233	0.00119	0.000903	0.000896	0.00091	0.001202244	0.001036479	0.000993168	0.000959053	0	0	0.004	0.008	0.9	0.91	0.993	0.001	0.001	0.001
48	C	LP6005442-DNA_E11	NA19044	S_Luhya-2	Genomic_from_cell_lines	X	XY	Luhya	Africa	Kenya	Webuye	1.3	36.8	36.34	2655436277	2328084702	2135361704	1251850758	0.001181146	0.001055462	0.001003066	0.000955	L3b1a1a	E1b1a1a1f1a1d	0.00110397	4.65e-05	0.00119	7.34e-05	7.17e-05	7.52e-05	0.001150089	0.000992424	0.000949693	0.00090865	0	0	0.003	0.0139	0.87	0.92	0.993	0.001	0.001	0.001
49	C	LP6005677-DNA_G01	Ayodo_430C	S_Luo-1	Genomic_from_blood	X	XY	Luo	Africa	Kenya	BondoDistrict	-0.1	34.3	38.27	2656200664	2313707589	2141972300	1261925202	0.001186613	0.001054959	0.001007411	0.000975	L1b1a3	E1b1b1a1a2	0.00111558	5.49e-05	0.00119	8.17e-05	7.99e-05	8.36e-05	0.00116436	0.000993329	0.000954291	0.000923387	0	0	0.003	0.0169	0.88	0.92	0.992	0.001	0.001	0.001
50	C	LP6005442-DNA_F09	Ayodo_502C	S_Luo-2	Genomic_from_blood	X	XX	Luo	Africa	Kenya	BondoDistrict	-0.1	34.3	37.65	2656273590	2328264313	2128156981	1248853813	0.001188321	0.001061291	0.00101186	0.000982	L3e1b	..	0.00115143	0.000773883	0.00119	0.000856	0.00085	0.000863	0.001204163	0.001036417	0.000993026	0.000965267	0	0	0.004	0.0186	0.9	0.91	0.993	0.001	0.001	0.001
51	C	LP6005441-DNA_E07	HGDP01199	S_Mandenka-1	Genomic_from_cell_lines	X	XY	Mandenka	Africa	Senegal	?	12	-12	34.59	2656318600	2326103104	2123060308	1248214677	0.001186718	0.001060901	0.001012691	0.000983	L2c3a	E1b1a1a1g1	0.00110476	5.94e-05	0.00117	7.34e-05	7.17e-05	7.51e-05	0.001145626	0.000984813	0.000945119	0.000920597	0	0	0.003	0.0137	0.87	0.92	0.992	0.001	0.001	0.001
52	C	LP6005441-DNA_F07	HGDP00915	S_Mandenka-2	Genomic_from_cell_lines	X	XX	Mandenka	Africa	Senegal	?	12	-12	39.02	2656287044	2320170433	2128294091	1281268737	0.001181942	0.001053436	0.001005062	0.000974	L3b1a	..	0.0011419	0.000722647	0.00117	0.000796	0.000789	0.000802	0.00118796	0.001021983	0.000980692	0.000955228	0	0	0.003	0.0134	0.91	0.91	0.993	0.001	0.001	0.001
53	C	LP6005443-DNA_F06	NA21490	S_Masai-1	Genomic_from_cell_lines	X	XY	Masai	Africa	Kenya	Kinyawa	-1.5	35.2	47.62	2641119544	2311534507	2113520201	1258148268	0.0011529	0.001026129	0.00097583	0.000937	L3h1a1	E1b1b1b2b	0.0010859	5.95e-05	0.00116	7.63e-05	7.45e-05	7.82e-05	0.001130808	0.000968502	0.000926586	0.000890245	0.003	0.001	0.003	0.026	0.91	0.92	0.993	0.001	0.001	0.001
54	C	LP6005443-DNA_E06	NA21581	S_Masai-2	Genomic_from_cell_lines	X	XY	Masai	Africa	Kenya	Kinyawa	-1.5	35.2	38.84	2655935226	2325730286	2245165718	1224532531	0.001151237	0.001026756	0.000987813	0.000924	L0a1b:0	E2a	0.00108739	5.37e-05	0.00116	7.15e-05	6.98e-05	7.32e-05	0.001131753	0.000971776	0.000943302	0.000933511	0.004	0.001	0.005	0.0273	0.88	0.92	0.993	0.001	0.001	0.001
